,name,company description,rating,review,salaries,no. of job opening
41,Startek,BPO | 10k-50k Employees | Public | 6 years old | Mumbai +59 more,3.2,6.1k Reviews,23.6k Salaries,17 Jobs
42,Mphasis,IT Services & Consulting | 10k-50k Employees | Public | 25 years old | Bangalore/Bengaluru +41 more,3.6,6k Reviews,58.4k Salaries,70 Jobs
43,Ericsson,10k-50k Employees | Forbes Global 2000 | 147 years old | Stockholm +139 more,4.3,6k Reviews,43.6k Salaries,22 Jobs
44,PwC,Accounting & Auditing | 10k-50k Employees | Conglomerate | 143 years old | London +78 more,3.7,5.9k Reviews,65.7k Salaries,541 Jobs
45,Maruti Suzuki,Automobile | 10k-50k Employees | Public | 42 years old | New Delhi +336 more,4.2,5.8k Reviews,27k Salaries,38 Jobs
46,HDFC Life,Insurance | 10k-50k Employees | Public | 1 years old | Mumbai +480 more,4.1,5.7k Reviews,24.6k Salaries,81 Jobs
47,Yes Bank,Banking | 10k-50k Employees | Public | 19 years old | Mumbai +411 more,3.9,5.6k Reviews,39.5k Salaries,29 Jobs
48,Dr. Reddy's,Pharma | 10k-50k Employees | Public | 39 years old | Hyderabad/Secunderabad +150 more,4.2,5.5k Reviews,23.6k Salaries,130 Jobs
49,Asian Paints,Chemicals | 10k-50k Employees | Public | 81 years old | Mumbai +375 more,4.1,5.5k Reviews,20.7k Salaries,132 Jobs
50,Cipla Pharmaceutical,Pharma | 10k-50k Employees | Public | 88 years old | Mumbai +206 more,4.1,5.4k Reviews,23.7k Salaries,24 Jobs
51,Sutherland Global Services,IT Services & Consulting | 10k-50k Employees | 37 years old | Pittsford +45 more,3.8,5.4k Reviews,26.7k Salaries,191 Jobs
52,NTT DATA,IT Services & Consulting | 10k-50k Employees | 35 years old | Chiyoda City +45 more,4.0,5.2k Reviews,49.2k Salaries,131 Jobs
53,ICICI Prudential Life Insurance,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +426 more,4.1,5.1k Reviews,21.3k Salaries,29 Jobs
54,Jana Small Finance Bank,Banking | 10k-50k Employees | Public | 17 years old | Bangalore/Bengaluru +329 more,3.8,5.1k Reviews,15.6k Salaries,103 Jobs
55,EXL Service,Analytics & KPO | 10k-50k Employees | 24 years old | New York City +37 more,3.8,5.1k Reviews,32.3k Salaries,431 Jobs
56,HCL Group,IT Services & Consulting | 1 Lakh+ Employees | 47 years old | Chennai +65 more,3.7,5k Reviews,72k Salaries,1 Jobs
57,UltraTech Cement,Building Material | 10k-50k Employees | Public | 40 years old | Mumbai +393 more,4.2,5k Reviews,20.4k Salaries,10 Jobs
58,Udaan,Internet | 1k-5k Employees | Indian Unicorn | 7 years old | Bangalore +328 more,4.0,5k Reviews,19.4k Salaries,295 Jobs
59,Lupin,Pharma | 10k-50k Employees | Public | 55 years old | Mumbai +148 more,4.1,4.9k Reviews,21.8k Salaries,7 Jobs
60,Paytm,FinTech | 5k-10k Employees | Public | 13 years old | Noida +270 more,3.5,4.8k Reviews,27.3k Salaries,547 Jobs
61,Bandhan Bank,Banking | 50k-1 Lakh Employees | Public | 22 years old | Kolkata +660 more,3.8,4.8k Reviews,18k Salaries,21 Jobs
62,Bajaj Finance,NBFC | 10k-50k Employees | 36 years old | Pune +698 more,4.1,4.8k Reviews,19k Salaries,85 Jobs
63,L&T Infotech,IT Services & Consulting | 10k-50k Employees | Public | 27 years old | Mumbai +72 more,3.8,4.7k Reviews,68.3k Salaries,137 Jobs
64,ITC,FMCG | 10k-50k Employees | Public | 48 years old | Kolkata +273 more,3.9,4.6k Reviews,22.6k Salaries,83 Jobs
65,AU Small Finance Bank,Financial Services | 10k-50k Employees | Fortune India 500 | 27 years old | Jaipur +341 more,4.2,4.6k Reviews,16.9k Salaries,158 Jobs
66,Indian Army,Defence & Aerospace | 1 Lakh+ Employees | Public | 128 years old | New Delhi +292 more,4.7,4.6k Reviews,10.7k Salaries,-- Jobs
67,JP Morgan Chase,10k-50k Employees | Forbes Global 2000 | 23 years old | New York +29 more,4.2,4.4k Reviews,60.6k Salaries,1.1k Jobs
68,FIS,IT Services & Consulting | 5k-10k Employees | 55 years old | Jacksonville +36 more,3.9,4.4k Reviews,36.1k Salaries,59 Jobs
69,Hindustan Unilever,FMCG | 10k-50k Employees | Public | 151 years old | London +397 more,4.2,4.4k Reviews,21.1k Salaries,190 Jobs
70,Wells Fargo,Banking | 10k-50k Employees | Public | 171 years old | San Francisco +19 more,4.2,4.4k Reviews,39.5k Salaries,174 Jobs
71,Delhivery,Logistics | 10k-50k Employees | Fortune India 500 | 12 years old | Delhi +551 more,4.0,4.4k Reviews,16.2k Salaries,436 Jobs
72,IIFL Finance,Financial Services | 10k-50k Employees | Public | 28 years old | Mumbai +592 more,3.8,4.3k Reviews,17.8k Salaries,159 Jobs
73,Amazon Development Centre India,Hyderabad/Secunderabad +49 more,4.2,4.2k Reviews,4.2k Salaries,23 Jobs
74,Quess,Recruitment | 1 Lakh+ Employees | Public | 16 years old | Bangalore +450 more,3.9,4.2k Reviews,22.9k Salaries,238 Jobs
75,Home Credit Finance,Financial Services | 5k-10k Employees | 11 years old | Gurugram +108 more,4.1,4.1k Reviews,12.3k Salaries,75 Jobs
76,TATA Steel,Iron & Steel | 1 Lakh+ Employees | Public | 116 years old | Mumbai +136 more,4.1,4.1k Reviews,20.4k Salaries,45 Jobs
77,Sun Pharmaceutical Industries,Pharma | 10k-50k Employees | Public | 40 years old | Mumbai +172 more,4.1,4.1k Reviews,19.8k Salaries,99 Jobs
78,KPMG India,Management Consulting | 10k-50k Employees | 36 years old | Bengaluru/Bangalore +70 more,3.6,4.1k Reviews,55.3k Salaries,1.3k Jobs
79,Hexaware Technologies,IT Services & Consulting | 10k-50k Employees | Fortune India 500 | 33 years old | Mumbai +34 more,3.7,4.1k Reviews,41.7k Salaries,328 Jobs
80,Ujjivan Small Finance Bank,Banking | 10k-50k Employees | Public | 6 years old | Bangalore/Bengaluru +399 more,4.1,4k Reviews,12.3k Salaries,64 Jobs
81,OPPO,Consumer Electronics & Appliances | 10k-50k Employees | Public | 19 years old | Dongguan +351 more,3.9,4k Reviews,14.7k Salaries,19 Jobs
