,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
1398,AVTEC,3.8,(278 Reviews),Private,"Delhi/NCR,New Delhi + 12 more",17 years old,1k-5k employees (Global)
1399,HyperCITY,4.3,(278 Reviews),Private,"Mumbai,Maharashtra + 18 more",18 years old,501-1k employees (India)
1400,Lafarge,4.2,(278 Reviews),Private,Paris + 67 more,189 years old,201-500 employees (India)
1401,Samsung Research,3.2,(278 Reviews),Private,Seocho-gu + 7 more,53 years old,1k-5k employees (India)
1402,Financial Software...,3.9,(278 Reviews),Private,Chennai + 18 more,31 years old,1k-5k employees (India)
1403,CNH Industrial,4.2,(610 Reviews),Public,London + 36 more,9 years old,1k-5k employees (India)
1404,Sanghi Industries,3.7,(277 Reviews),Public,"Ahmedabad,Gujarat + 18 more",37 years old,201-500 employees (India)
1405,Wapcos,3.8,(277 Reviews),Private,"Gurgaon/Gurugram,Haryana + 61 more",53 years old,1k-5k employees (Global)
1406,PC Jewellers,4.0,(277 Reviews),Public,"Delhi/NCR,Delhi + 59 more",17 years old,1k-5k employees (India)
1407,Ranbaxy,4.7,(277 Reviews),Public,GURGAON + 51 more,61 years old,10k-50k employees (India)
1408,Triumphant Institu...,3.7,(276 Reviews),Private,Hyderabad + 59 more,30 years old,201-500 employees (India)
1409,Test Yantra Softwa...,4.1,(276 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 7 more",15 years old,1k-5k employees (Global)
1410,Lakshmi Vilas Bank,3.7,(276 Reviews),Public,"Chennai,Tamil Nadu + 67 more",96 years old,1k-5k employees (Global)
1411,Thriveni Earthmove...,4.0,(276 Reviews),Private,"Salem,Tamil Nadu + 18 more",31 years old,5k-10k employees (Global)
1412,MAS Financial Serv...,3.5,(275 Reviews),Public,"Ahmedabad,Gujarat + 55 more",27 years old,1k-5k employees (India)
1413,Tata Power Delhi D...,4.3,(274 Reviews),Private,"New Delhi,Delhi + 26 more",20 years old,1k-5k employees (India)
1414,Sintex-bapl,3.9,(274 Reviews),Public,Pune + 33 more,15 years old,5k-10k employees (Global)
1415,Aptech,3.5,(274 Reviews),Public,"Mumbai,Maharashtra + 58 more",36 years old,201-500 employees (India)
1416,Aegis Essar,3.7,(274 Reviews),"Mumbai,Maharashtra + 22 more",19 years old,5k-10k employees (India),
1417,Aditya Birla Minac...,4.4,(274 Reviews),Private,Bellandur + 8 more,41 years old,10k-50k employees (India)
1418,bnp paribas india ...,3.9,(274 Reviews),Paris + 6 more,174 years old,5k-10k employees (India),
1419,Visteon,3.4,(274 Reviews),Private,"Van Buren Township MI,Michigan + 9 more",22 years old,1k-5k employees (India)
1420,Infinx,3.6,(274 Reviews),Private,"Mumbai,Maharashtra + 13 more",16 years old,1k-5k employees (India)
1421,Balkrishna Industr...,4.1,(273 Reviews),Public,"Mumbai,Maharashtra + 8 more",35 years old,5k-10k employees (Global)
1422,Duck Creek,4.7,(273 Reviews),LLP,Boston + 3 more,22 years old,501-1k employees (India)
1423,Xebia,4.5,(273 Reviews),Private,"Hilversum,Hilversum + 9 more",21 years old,501-1k employees (India)
1424,Descon Engineering,4.0,(273 Reviews),Private,Lahore + 15 more,45 years old,201-500 employees (India)
1425,Collins Aerospace,3.9,(386 Reviews),Private,West Palm Beach + 2 more,4 years old,10k-50k employees (Global)
1426,Sun Life Financial,4.2,(272 Reviews),Private,"Toronto,Ontario + 4 more",157 years old,1k-5k employees (India)
1427,Spoton Logistics,4.1,(272 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 55 more",10 years old,1k-5k employees (India)
1428,S&P Global,4.1,(710 Reviews),Public,"Manhattan,New York + 6 more",105 years old,10k-50k employees (India)
1429,Baker Hughes,4.1,(271 Reviews),Private,"Boston ,Massachusetts  + 30 more",6 years old,1k-5k employees (India)
1430,Srei Equipment Fin...,4.3,(271 Reviews),Public,Kolkata + 68 more,33 years old,1k-5k employees (India)
1431,Hinduja Group,4.0,(8.9k Reviews),Public,Mumbai + 42 more,108 years old,201-500 employees (India)
1432,Wuerth,4.0,(270 Reviews),Private,"Mumbai,Maharashtra + 41 more",28 years old,1k-5k employees (Global)
1433,Bharat Gears,3.9,(270 Reviews),Public,"Mumbai,Maharashtra + 12 more",50 years old,501-1k employees (India)
1434,RAK Ceramics,3.9,(270 Reviews),Private,"Ras Al Khaimah,Ras Al Khaimah + 36 more",33 years old,501-1k employees (India)
1435,Adidas,4.3,(270 Reviews),Public,"Herzogenaurach,Bavaria + 44 more",73 years old,50k-1 Lakh employees (Global)
1436,Patel Engineering,4.2,(270 Reviews),Public,"Mumbai,Maharashtra + 28 more",73 years old,1k-5k employees (India)
1437,RuralShores,4.0,(270 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 30 more",14 years old,1k-5k employees (India)
1438,Nucleus Software E...,3.8,(270 Reviews),Public,"Noida,Uttar Pradesh + 8 more",36 years old,1k-5k employees (India)
1439,Coforge,3.5,(270 Reviews),Public,Greater Noida + 16 more,5k-10k employees (India),
1440,PeopleStrong,3.7,(270 Reviews),Private,Gurgaon + 14 more,16 years old,1k-5k employees (India)
1441,Varun Motors,4.0,(269 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 15 more",29 years old,501-1k employees (India)
1442,STUP Consultants,3.9,(269 Reviews),Private,"Mumbai,Maharashtra + 36 more",59 years old,1k-5k employees (India)
1443,Orchids Internatio...,2.8,(269 Reviews),Private,"Nasik/Nashik,Maharashtra + 11 more",18 years old,501-1k employees (Global)
1444,Mahindra Satyam,3.3,(269 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 23 more",35 years old,1 Lakh+ employees (India)
1445,Ongc Petro Additio...,4.2,(269 Reviews),Public,"Vadodara/Baroda,Gujarat + 18 more",16 years old,1k-5k employees (Global)
1446,TTK Prestige,4.0,(269 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 50 more",67 years old,501-1k employees (Global)
1447,GD Goenka Public S...,4.0,(269 Reviews),Private,"Gurgaon/Gurugram,Haryana + 39 more",28 years old,501-1k employees (Global)
1448,Tecnimont,3.9,(268 Reviews),Private,"Mumbai,Maharashtra + 15 more",17 years old,1k-5k employees (India)
1449,Travel Food Servic...,3.8,(268 Reviews),Private,"Mumbai,Maharashtra + 16 more",13 years old,5k-10k employees (Global)
1450,Maini Precision Pr...,3.6,(268 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 4 more",49 years old,1k-5k employees (India)
1451,Ramky Enviro Engin...,4.1,(268 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 47 more",28 years old,50k-1 Lakh employees (Global)
1452,Pace Setters Busin...,3.7,(268 Reviews),Mumbai + 12 more,16 years old,201-500 employees (India),
1453,Tata International,4.0,(268 Reviews),Public,"Mumbai,Maharashtra + 31 more",60 years old,5k-10k employees (Global)
1454,PropTiger.com,4.0,(268 Reviews),Private,Gurgaon + 12 more,11 years old,51-200 employees (India)
1455,Canon,4.3,(277 Reviews),Private,"Ota City,Tokyo + 43 more",85 years old,1k-5k employees (India)
1456,NeoSoft Technologi...,3.5,(267 Reviews),Private,"Mumbai,Maharashtra + 6 more",26 years old,1k-5k employees (India)
1457,BankBazaar,3.3,(267 Reviews),Private,Chennai + 5 more,14 years old,501-1k employees (India)
1458,Royal Orchid Hotel...,4.1,(267 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 30 more",36 years old,5k-10k employees (India)
1459,Ssipl Lifestyle,4.0,(267 Reviews),Private,"Delhi/NCR,Delhi + 42 more",28 years old,1k-5k employees (India)
1460,Csc E Governance S...,4.1,(267 Reviews),Public,"Delhi/NCR,New Delhi + 93 more",13 years old,51-200 employees (Global)
1461,Shilpa Medicare,3.8,(267 Reviews),Public,"Raichur,Karnataka + 14 more",35 years old,1k-5k employees (India)
1462,Medica Superspecia...,3.6,(267 Reviews),Private,"Kolkata,West Bengal + 16 more",14 years old,1k-5k employees (Global)
1463,KGISL,3.7,(267 Reviews),Private,"Coimbatore,Tamil Nadu + 3 more",26 years old,501-1k employees (India)
1464,Tavant Technologie...,4.0,(266 Reviews),Private,"Santa Clara,California + 5 more",22 years old,1k-5k employees (India)
1465,National Collatera...,3.9,(266 Reviews),Mumbai + 62 more,18 years old,1k-5k employees (Global),
1466,Neuland Laboratori...,4.1,(265 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 2 more",38 years old,501-1k employees (India)
1467,Dr. Batras' Positi...,3.4,(265 Reviews),Private,"Mumbai,Maharashtra + 64 more",40 years old,501-1k employees (Global)
1468,St. Xavier's High ...,4.0,(265 Reviews),Private,"Mumbai,Maharashtra + 67 more",153 years old,1k-5k employees (Global)
1469,Brillio,3.6,(265 Reviews),Private,"Santa Clara,California + 6 more",8 years old,1k-5k employees (India)
1470,Updater Services,3.8,(265 Reviews),Private,"Chennai,Tamil Nadu + 37 more",37 years old,10k-50k employees (Global)
1471,Centaur Pharmaceut...,3.9,(264 Reviews),Private,"Mumbai,Maharashtra + 36 more",44 years old,1k-5k employees (India)
1472,Siyaram Silk Mills,4.1,(264 Reviews),Public,"Mumbai,Maharashtra + 27 more",44 years old,1k-5k employees (India)
1473,Alfanar,4.4,(264 Reviews),Private,"Riyadh,Riyadh + 23 more",46 years old,201-500 employees (India)
1474,Efs Facilities Ser...,4.2,(264 Reviews),Private,"Dubai,Dubai + 28 more",16 years old,201-500 employees (India)
1475,Radical Minds,2.7,(264 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",12 years old,1k-5k employees (Global)
1476,Audi,4.0,(271 Reviews),Private,"Ingolstadt,Bavaria + 45 more",113 years old,201-500 employees (India)
1477,Ashirvad Pipes,4.3,(263 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 41 more",47 years old,501-1k employees (India)
1478,ADFC,3.8,(263 Reviews),Private,Mumbai + 32 more,28 years old,5k-10k employees (Global)
1479,Kharafi National,4.0,(263 Reviews),Cairo + 15 more,46 years old,201-500 employees (India),
1480,SK E&C,4.4,(263 Reviews),Seoul + 36 more,45 years old,201-500 employees (India),
1481,Gandhi Automations,4.3,(263 Reviews),Private,"Mumbai,Maharashtra + 14 more",26 years old,501-1k employees (India)
1482,Hitachi,3.9,(3.4k Reviews),Private,"Delhi/NCR,New Delhi + 55 more",92 years old,1k-5k employees (India)
1483,Times Internet,3.9,(332 Reviews),Public,Gurugram + 16 more,23 years old,5k-10k employees (India)
1484,Ziqitza Health Car...,4.3,(262 Reviews),Public,"Mumbai,Maharashtra + 28 more",17 years old,501-1k employees (Global)
1485,L & W Construction...,3.7,(262 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 14 more",16 years old,1k-5k employees (India)
1486,Hyundai Engineerin...,4.3,(262 Reviews),Abu Dhabi + 22 more,501-1k employees (India),,
1487,Magna Internationa...,3.6,(262 Reviews),Public,Aurora + 11 more,65 years old,1k-5k employees (India)
1488,M.J Global,4.6,(262 Reviews),Public,Noida + 3 more,42 years old,201-500 employees (India)
1489,Khazana Jewellery,4.0,(262 Reviews),Private,"Chennai,Tamil Nadu + 34 more",33 years old,201-500 employees (India)
1490,NJ India Invest,3.9,(262 Reviews),Private,Surat + 57 more,28 years old,1k-5k employees (Global)
1491,Aramex,3.7,(261 Reviews),Private,Dubai + 46 more,40 years old,1k-5k employees (India)
1492,Cpf India,4.2,(261 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 34 more",28 years old,501-1k employees (India)
1493,Prime Focus Techno...,3.2,(261 Reviews),Private,Mumbai + 11 more,14 years old,1k-5k employees (India)
1494,VRL Logistics,3.9,(274 Reviews),Public,"Hubballi,Karnataka + 63 more",39 years old,10k-50k employees (India)
